City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Half Moon Bay,US,37.4636,-122.4286,48.2,87,90,9.22,overcast clouds
107,Wladyslawowo,PL,54.7909,18.4009,26.6,74,98,11.5,overcast clouds
108,Necochea,AR,-38.5473,-58.7368,71.01,68,100,5.01,overcast clouds
109,Belaya Gora,RU,68.5333,146.4167,6.28,92,68,3.33,broken clouds
110,Astara,AZ,38.5,48.6667,42.8,87,75,16.11,broken clouds
111,Avarua,CK,-21.2078,-159.775,78.8,83,75,3.44,broken clouds
112,Karpathos,GR,35.507,27.2132,60.8,77,26,23.02,scattered clouds
113,Maputo,MZ,-25.9653,32.5892,79.0,61,20,10.36,few clouds
114,Villa Del Rosario,CO,7.8339,-72.4742,71.22,79,74,2.15,broken clouds
115,Sao Filipe,CV,14.8961,-24.4956,68.52,75,100,12.8,overcast clouds
116,Brigantine,US,39.4101,-74.3646,48.2,93,20,6.91,few clouds
117,Cidreira,BR,-30.1811,-50.2056,67.48,81,29,5.46,scattered clouds
118,Abha,SA,18.2164,42.5053,60.8,35,0,3.6,clear sky
119,Khatanga,RU,71.9667,102.5,-14.66,87,100,22.91,overcast clouds
120,Griffith,US,41.5284,-87.4237,62.6,77,75,26.46,broken clouds
121,Port Hardy,CA,50.6996,-127.4199,44.6,100,1,2.3,clear sky
122,East London,ZA,-33.0153,27.9116,70.84,80,12,12.26,few clouds
123,Jamestown,US,42.097,-79.2353,57.2,30,90,14.67,overcast clouds
124,Ginda,IN,30.6945,78.4932,73.4,43,0,3.44,clear sky
125,Minot,US,48.2325,-101.2963,28.4,50,1,6.91,clear sky
126,Padang,ID,-0.9492,100.3543,86.0,70,20,5.75,few clouds
127,Carnarvon,AU,-24.8667,113.6333,84.2,65,1,10.36,clear sky
128,Codrington,AU,-38.2667,141.9667,69.69,60,10,11.45,clear sky
129,Esperance,AU,-33.8667,121.9,80.6,50,100,13.8,light rain
130,Daru,PG,-9.0763,143.2092,84.02,77,48,8.66,scattered clouds
131,Kloulklubed,PW,7.0419,134.2556,87.8,66,75,6.91,broken clouds
132,Ginir,ET,7.1333,40.7,66.24,44,0,2.68,clear sky
133,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,40,0,25.32,clear sky
134,Tuscaloosa,US,33.2098,-87.5692,64.4,59,1,10.36,clear sky
135,Jurado,CO,7.1053,-77.7641,74.68,88,100,2.84,light rain
136,Mahebourg,MU,-20.4081,57.7,80.6,74,40,12.66,light rain
137,Talnakh,RU,69.4865,88.3972,-25.06,84,98,7.56,overcast clouds
138,Hay River,CA,60.8156,-115.7999,-4.0,65,37,4.61,scattered clouds
139,Zapolyarnyy,RU,69.4154,30.8136,5.0,78,0,18.41,clear sky
140,Rio Gallegos,AR,-51.6226,-69.2181,50.0,29,0,26.46,clear sky
141,Asfi,MA,32.2994,-9.2372,52.97,84,0,15.01,clear sky
142,Nikolskoye,RU,59.7035,30.7861,5.0,71,20,11.18,light snow
143,Vao,NC,-22.6667,167.4833,77.38,72,13,16.75,few clouds
144,Leua,SK,48.2156,18.6071,26.01,68,11,5.01,few clouds
145,Saint-Augustin,CA,51.226,-58.6502,29.84,95,100,21.81,overcast clouds
146,Yuli,NG,9.6989,10.2744,75.02,42,99,0.89,overcast clouds
147,Fairmont,US,39.4851,-80.1426,62.6,19,1,6.91,clear sky
148,Guilin,CN,25.2819,110.2864,55.4,94,90,2.26,overcast clouds
149,Ust-Ordynskiy,RU,52.805,104.7508,39.2,41,0,11.18,clear sky
150,Leningradskiy,RU,69.3833,178.4167,-14.13,76,0,4.99,clear sky
151,Castro,BR,-24.7911,-50.0119,57.07,91,0,1.88,clear sky
152,Tarko-Sale,RU,64.9225,77.785,-22.32,85,0,6.06,clear sky
153,Kismayo,SO,-0.3582,42.5454,79.92,77,26,14.61,scattered clouds
154,Yeppoon,AU,-23.1333,150.7333,86.0,51,75,10.36,broken clouds
155,Jumla,NP,29.2747,82.1838,59.02,29,0,3.96,clear sky
156,Hasaki,JP,35.7333,140.8333,63.0,47,20,9.22,few clouds
157,Hue,VN,16.4667,107.6,82.4,69,40,10.36,scattered clouds
158,Troitsko-Pechorsk,RU,62.7084,56.1964,-1.43,92,100,0.45,overcast clouds
159,Baker City,US,44.7749,-117.8344,35.6,64,1,4.61,clear sky
160,Albany,US,42.6001,-73.9662,43.0,70,75,13.8,broken clouds
161,Atyrau,KZ,47.1167,51.8833,14.0,67,0,13.42,clear sky
162,Moissala,TD,8.3404,17.7663,72.27,76,67,2.08,broken clouds
163,Puro,PH,12.4841,123.3827,80.44,76,68,18.12,moderate rain
164,Beringovskiy,RU,63.05,179.3167,-7.64,82,12,0.78,few clouds
165,Broken Hill,AU,-31.95,141.4333,82.4,44,5,3.44,clear sky
166,Puerto Ayora,EC,-0.7393,-90.3518,75.0,98,97,4.74,moderate rain
167,Hovd,MN,48.0056,91.6419,37.85,56,53,3.76,broken clouds
168,Salalah,OM,17.0151,54.0924,75.2,46,0,2.3,clear sky
169,Ashtian,IR,34.5217,50.0019,41.0,70,75,6.91,broken clouds
170,Saint-Pierre,RE,-21.3393,55.4781,82.4,69,0,18.41,clear sky
171,Kokopo,PG,-4.352,152.2633,82.42,74,89,6.67,light rain
172,Tipitapa,NI,12.1973,-86.0971,73.4,88,20,6.91,few clouds
173,Cabo San Lucas,MX,22.8909,-109.9124,68.0,68,96,1.01,overcast clouds
174,Haines Junction,CA,60.7522,-137.5108,33.8,44,40,6.91,scattered clouds
175,Gualaquiza,EC,-3.4,-78.55,63.41,88,100,0.76,light rain
176,Alyangula,AU,-13.8483,136.4192,78.8,89,90,13.8,heavy intensity rain
177,Ilulissat,GL,69.2167,-51.1,15.8,73,90,3.31,overcast clouds
178,Arlit,NE,18.7369,7.3853,72.91,18,0,4.34,clear sky
179,Alexandria,EG,31.2156,29.9553,60.8,82,40,9.22,scattered clouds
180,Powell River,CA,49.8496,-124.5361,42.8,61,20,4.61,few clouds
181,Pangnirtung,CA,66.1451,-65.7125,-14.39,84,100,2.42,overcast clouds
182,Paracuru,BR,-3.41,-39.0306,82.0,75,93,21.0,overcast clouds
183,Bambous Virieux,MU,-20.3428,57.7575,82.99,74,40,12.66,light rain
184,Dancheng,CN,33.6333,115.1833,53.02,80,99,4.45,overcast clouds
185,Alice Springs,AU,-23.7,133.8833,93.2,38,75,4.61,broken clouds
186,Yairipok,IN,24.6667,94.0667,68.0,68,40,3.44,haze
187,Lompoc,US,34.6391,-120.4579,44.6,81,90,3.44,overcast clouds
188,Aklavik,CA,68.2191,-135.0107,14.0,85,100,5.75,light snow
189,Longyearbyen,SJ,78.2186,15.6401,24.8,93,90,10.36,light snow
190,Ancud,CL,-41.8697,-73.8203,48.99,100,20,4.61,few clouds
191,Bredasdorp,ZA,-34.5322,20.0403,57.99,96,76,2.08,broken clouds
192,Laguna,US,38.421,-121.4238,44.6,81,90,3.44,overcast clouds
193,Clyde River,CA,70.4692,-68.5914,-9.4,77,90,10.36,overcast clouds
194,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,92,90,16.11,mist
195,Matamoros,MX,25.5333,-103.25,75.0,16,59,4.23,broken clouds
196,Kavieng,PG,-2.5744,150.7967,84.09,64,48,6.2,scattered clouds
197,Tazovskiy,RU,67.4667,78.7,-25.33,86,6,4.07,clear sky
198,Victoria,HK,22.2855,114.1577,73.0,78,79,4.0,broken clouds
199,Iqaluit,CA,63.7506,-68.5145,-16.6,69,75,8.05,broken clouds
200,Hachinohe,JP,40.5,141.5,45.0,36,0,4.0,clear sky
201,Tuatapere,NZ,-46.1333,167.6833,57.99,61,3,5.99,clear sky
202,Ketchikan,US,55.3422,-131.6461,35.6,75,1,4.61,clear sky
203,Port Alfred,ZA,-33.5906,26.891,66.0,94,61,1.99,light rain
204,Khandyga,RU,62.6667,135.6,9.9,92,100,7.38,overcast clouds
205,Skjervoy,NO,70.0311,20.9714,20.8,88,13,13.09,few clouds
206,Kroya,ID,-7.6331,109.2461,88.56,59,48,5.61,scattered clouds
207,Maldonado,UY,-34.6667,-54.9167,64.4,82,0,8.05,clear sky
208,Ormara,PK,25.2088,64.6357,73.47,74,0,1.41,clear sky
209,Les Cayes,HT,18.2,-73.75,73.44,81,15,11.59,few clouds
210,Iraray,PH,8.9936,118.0511,84.61,68,65,15.37,broken clouds
211,Andenes,NO,69.3143,16.1194,24.8,68,29,16.11,scattered clouds
212,Pevek,RU,69.7008,170.3133,-15.54,79,0,17.07,clear sky
213,Pervomayskoye,RU,43.919,46.7102,29.97,91,100,11.92,overcast clouds
214,Hearst,CA,49.6835,-83.6665,15.8,86,100,5.75,snow
215,Bud,US,39.447,-86.1758,63.0,55,90,14.97,overcast clouds
216,Maragogi,BR,-9.0122,-35.2225,77.05,85,25,6.22,scattered clouds
217,Jishou,CN,28.3167,109.7167,64.81,60,42,1.86,scattered clouds
218,Shache,CN,38.4167,77.2406,57.97,33,26,12.26,scattered clouds
219,Nacala,MZ,-14.5428,40.6728,77.5,85,72,3.71,broken clouds
220,Gat,IL,31.61,34.7642,60.01,41,50,6.51,scattered clouds
221,Caxias,PT,38.7031,-9.2767,55.99,88,75,3.44,broken clouds
222,Moron,AR,-34.6534,-58.6198,75.99,72,26,1.99,scattered clouds
223,Provideniya,RU,64.3833,-173.3,-5.8,71,0,2.24,clear sky
224,Kochi,IN,9.9399,76.2602,86.0,62,63,2.3,haze
225,Marsh Harbour,BS,26.5412,-77.0636,70.39,70,63,23.98,broken clouds
226,Lavrentiya,RU,65.5833,-171.0,-18.45,78,0,5.77,clear sky
227,Sarany,RU,58.5,58.8833,-6.99,89,21,2.84,few clouds
228,Omsukchan,RU,62.5333,155.8,-1.91,87,0,7.65,clear sky
229,Sabzevar,IR,36.2126,57.6819,42.8,65,0,20.71,clear sky
230,Frontera,MX,26.9333,-101.45,72.01,51,30,3.4,scattered clouds
231,Roebourne,AU,-20.7833,117.1333,101.16,29,0,11.05,clear sky
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.26,92,99,9.89,overcast clouds
233,Don Sak,TH,9.3168,99.6918,95.0,62,20,11.5,few clouds
234,Lebu,CL,-37.6167,-73.65,55.4,87,1,4.09,clear sky
235,Luanda,AO,-8.8368,13.2343,80.6,83,40,5.75,scattered clouds
236,Kavaratti,IN,10.5669,72.642,83.21,70,58,6.8,broken clouds
237,Touros,BR,-5.1989,-35.4608,75.2,94,40,4.61,scattered clouds
238,Ust-Tsilma,RU,65.441,52.1498,13.82,96,100,6.38,light snow
239,Camacha,PT,33.0833,-16.3333,59.0,72,75,10.36,broken clouds
240,Portland,US,45.5234,-122.6762,48.0,69,7,5.61,clear sky
241,Fort Dix,US,40.0298,-74.6185,46.4,100,1,4.61,clear sky
242,Taybad,IR,34.74,60.7756,46.94,54,0,8.57,clear sky
243,Agua Dulce,MX,18.1333,-94.1333,72.36,87,0,7.45,clear sky
244,Ocos,GT,14.5094,-92.1933,78.8,94,20,3.44,few clouds
245,Berlevag,NO,70.8578,29.0864,12.2,73,0,19.57,clear sky
246,Male,MV,4.1748,73.5089,84.2,79,75,8.05,broken clouds
247,Dunedin,NZ,-45.8742,170.5036,55.99,69,70,17.0,broken clouds
248,Meulaboh,ID,4.1363,96.1285,88.03,52,16,2.66,few clouds
249,Nago,JP,26.5881,127.9761,77.0,50,1,12.66,clear sky
250,Akdagmadeni,TR,39.6603,35.8836,38.34,85,77,4.18,broken clouds
251,Awbari,LY,26.5921,12.7805,63.14,38,47,16.04,scattered clouds
252,Vila,PT,42.0304,-8.1588,50.0,94,100,10.0,overcast clouds
253,Shebunino,RU,46.4339,141.8603,35.1,82,42,15.82,scattered clouds
254,Khash,IR,28.2211,61.2158,62.42,28,0,14.18,clear sky
255,Ponta Delgada,PT,37.7333,-25.6667,60.8,88,75,14.97,broken clouds
256,Paijan,PE,-7.7333,-79.3022,74.61,71,23,7.11,few clouds
257,Tulun,RU,54.5611,100.5792,30.24,97,23,8.32,few clouds
258,Ratnagiri,IN,16.9833,73.3,87.53,38,0,4.59,clear sky
259,Kodiak,US,57.79,-152.4072,32.0,47,20,24.16,few clouds
260,Nanortalik,GL,60.1432,-45.2371,24.13,94,95,18.21,overcast clouds
261,Mogadishu,SO,2.0371,45.3438,78.8,69,75,6.91,broken clouds
262,Brae,GB,60.3964,-1.353,44.6,87,75,14.97,broken clouds
263,Saldanha,ZA,-33.0117,17.9442,63.93,84,85,13.13,overcast clouds
264,Elizabeth City,US,36.2946,-76.2511,55.4,47,1,9.22,clear sky
265,Ursulo Galvan,MX,22.7333,-98.3,69.01,87,21,3.0,few clouds
266,Poronaysk,RU,49.2167,143.1167,28.83,95,69,3.22,broken clouds
267,Batemans Bay,AU,-35.7167,150.1833,79.0,72,48,5.01,scattered clouds
268,Balagansk,RU,54.0103,103.0544,31.32,96,0,12.33,clear sky
269,Srednekolymsk,RU,67.45,153.6833,2.57,89,43,8.63,scattered clouds
270,Manaia,NZ,-39.55,174.1333,59.0,92,100,1.99,light rain
271,Ixtapa,MX,20.7,-105.2,71.6,88,1,2.91,clear sky
272,Buala,SB,-8.145,159.5921,82.98,74,63,4.23,moderate rain
273,Iranshahr,IR,27.2025,60.6848,66.2,30,0,6.91,clear sky
274,Qasigiannguit,GL,68.8193,-51.1922,15.8,73,90,2.04,overcast clouds
275,Girne,CY,35.3417,33.3167,53.6,94,0,6.91,clear sky
276,Akdepe,TM,42.0551,59.3788,37.4,69,0,2.3,clear sky
277,Komsomolskiy,UZ,40.4272,71.7189,46.4,76,75,11.5,moderate rain
278,San Luis,AR,-33.295,-66.3356,74.73,45,100,11.18,overcast clouds
279,Severo-Kurilsk,RU,50.6789,156.125,31.93,97,92,6.69,light snow
280,Sorland,NO,67.667,12.6934,28.45,93,100,25.55,overcast clouds
281,Port Macquarie,AU,-31.4333,152.9167,69.8,94,75,5.75,light rain
282,Oum Hadjer,TD,13.2954,19.6966,73.63,17,5,9.24,clear sky
283,Yangjiang,CN,21.85,111.9667,79.0,61,95,11.68,overcast clouds
284,Plettenberg Bay,ZA,-34.0527,23.3716,61.84,89,100,4.47,light rain
285,Adrar,MR,20.5022,-10.0711,60.3,33,0,13.47,clear sky
286,Hobyo,SO,5.3505,48.5268,81.28,71,66,16.71,broken clouds
287,Ust-Nera,RU,64.5667,143.2,3.18,82,100,8.61,overcast clouds
288,Yaan,NG,7.3833,8.5667,76.98,83,95,6.33,overcast clouds
289,La Sarre,CA,48.8002,-79.1996,34.48,99,100,0.49,snow
290,Dwarka,IN,22.2394,68.9678,78.96,48,0,5.28,clear sky
291,Longonjo,AO,-12.9067,15.2533,63.01,84,71,1.54,broken clouds
292,Anori,BR,-3.7728,-61.6442,70.68,99,98,0.87,overcast clouds
293,Ahipara,NZ,-35.1667,173.1667,67.37,74,26,10.85,scattered clouds
294,Manta,EC,-0.95,-80.7333,77.0,88,90,3.44,light rain
295,Shirokaya Rechka,RU,56.7986,60.4852,-0.4,78,40,15.66,snow
296,Iquique,CL,-20.2208,-70.1431,71.6,64,0,10.36,clear sky
297,Luwuk,ID,-0.9516,122.7875,81.48,75,100,2.1,overcast clouds
298,Jalu,LY,29.0331,21.5482,59.76,65,77,12.41,broken clouds
299,Anadyr,RU,64.75,177.4833,-18.0,69,0,2.24,clear sky
300,Balikpapan,ID,-1.2675,116.8289,87.8,70,20,3.44,few clouds
301,Athabasca,CA,54.7169,-113.2854,5.0,72,24,3.44,few clouds
302,Blyth,GB,55.1271,-1.5086,46.99,81,90,18.41,overcast clouds
303,Mulege,MX,26.8833,-111.9833,57.2,44,100,2.53,overcast clouds
304,Kurchum,KZ,48.5722,83.6542,31.91,99,100,8.43,overcast clouds
305,Basco,PH,20.4487,121.9702,76.69,74,100,18.19,overcast clouds
306,Te Anau,NZ,-45.4167,167.7167,62.87,50,0,2.82,clear sky
307,Chateauroux,FR,46.8167,1.7,50.0,93,90,20.71,mist
308,Shimoda,JP,34.6667,138.95,57.2,47,20,11.5,few clouds
309,Viytivka,UA,48.426,29.5429,21.85,88,62,7.18,broken clouds
310,Rawson,AR,-43.3002,-65.1023,57.38,35,19,22.77,few clouds
311,Klyuchi,RU,52.2667,79.1667,22.39,93,4,15.55,clear sky
312,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,17.27,scattered clouds
313,Azare,NG,11.6765,10.1948,70.09,22,83,4.45,broken clouds
314,Taonan,CN,45.3333,122.7833,45.93,48,12,8.63,few clouds
315,Susanville,US,40.4163,-120.653,32.0,74,1,5.75,clear sky
316,Lagos,NG,6.5833,3.75,80.98,84,100,5.48,overcast clouds
317,Nabire,ID,-3.3667,135.4833,86.74,61,2,6.87,clear sky
318,Evanston,US,42.0411,-87.6901,64.4,72,90,24.16,overcast clouds
319,Dese,ET,11.1333,39.6333,59.4,51,1,2.33,clear sky
320,San Cristobal,VE,7.7669,-72.225,65.79,83,57,1.74,broken clouds
