City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Dwarka,IN,78.96,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
292,Anori,BR,70.68,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
294,Manta,EC,77.0,light rain,-0.95,-80.7333,Balandra Hotel
296,Iquique,CL,71.6,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
297,Luwuk,ID,81.48,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
300,Balikpapan,ID,87.8,few clouds,-1.2675,116.8289,ibis Balikpapan
305,Basco,PH,76.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
312,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
313,Azare,NG,70.09,broken clouds,11.6765,10.1948,Muk hostel
317,Nabire,ID,86.74,clear sky,-3.3667,135.4833,Hotel Nusantara Nabire
322,Geraldton,AU,84.2,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
324,Port Lincoln,AU,71.4,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
325,Lodwar,KE,85.05,clear sky,3.1191,35.5973,Turkwel Lodge
326,Kathu,TH,89.6,few clouds,7.9178,98.3332,Novotel Phuket Resort
327,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
328,Terenos,BR,71.6,clear sky,-20.4422,-54.8603,QUINTAS
331,Namatanai,PG,82.94,moderate rain,-3.6667,152.4333,Namatanai Hotel
334,Xiamen,CN,71.6,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
336,Villa Bruzual,VE,74.77,overcast clouds,9.3328,-69.1208,Edificio Guarente
339,Sai Buri,TH,89.6,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
341,Bengkulu,ID,85.1,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
346,Soe,ID,76.95,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
347,Kahului,US,73.4,light rain,20.8947,-156.47,Maui Seaside Hotel
348,Sur,OM,86.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
353,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
356,Huarmey,PE,73.53,overcast clouds,-10.0681,-78.1522,Hotel Miramar
358,Cap Malheureux,MU,82.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
361,Axim,GH,79.84,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
362,Alofi,NU,82.4,broken clouds,-19.0595,-169.9187,Taloa Heights
363,Samarai,PG,85.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
365,Tamandare,BR,77.32,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
367,Tiruchchendur,IN,87.8,scattered clouds,8.4833,78.1167,Hotel Udhayam International
371,Tura,IN,87.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
372,Fare,PF,82.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
376,Kaihua,CN,72.1,scattered clouds,23.3687,104.28,Zhongyu Hotel
378,Manakara,MG,78.51,light rain,-22.1333,48.0167,La Residence Manakara
380,Zacualpan,MX,71.6,clear sky,21.25,-105.1667,La Colorada B&B
389,Kikwit,CD,71.74,broken clouds,-5.041,18.8162,Guest L'Amour
390,Pisco,PE,73.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
394,Kirakira,SB,83.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
397,Douentza,ML,71.78,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
399,Bata,GQ,77.56,heavy intensity rain,1.8639,9.7658,Hotel Carmen
400,Xuddur,SO,75.2,clear sky,4.1213,43.8894,Banjanay Hotel
402,Balabac,PH,83.26,moderate rain,7.9868,117.0645,Sing and Swing Lodge
403,Aswan,EG,72.91,clear sky,24.0934,32.907,Nuba Nile
404,Baracoa,CU,73.04,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
407,Sokoto,NG,79.84,scattered clouds,13.0609,5.239,Shukura Coral Hotel
412,Hualmay,PE,71.82,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
413,Richards Bay,ZA,72.75,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
417,Arica,CL,71.6,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
421,Cockburn Town,TC,75.2,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
423,Bombay,IN,86.0,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
425,Cabinda,AO,80.44,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
431,Yulara,AU,93.2,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
434,Cape Coast,GH,79.65,broken clouds,5.1053,-1.2466,Samrit Hotel
435,Namibe,AO,73.31,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
436,Maroantsetra,MG,78.46,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
445,Galesong,ID,80.6,few clouds,-5.3166,119.3661,Sapriadi Appy
447,Wanning,CN,79.3,scattered clouds,18.8003,110.3967,Paradise Hotel
450,Myitkyina,MM,92.19,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
451,Maningrida,AU,88.36,light rain,-12.0667,134.2667,Dhukurrdji Lodge
456,Salinopolis,BR,77.23,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
457,Varkkallai,IN,87.8,few clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
458,Marawi,PH,79.0,light rain,7.9986,124.2928,Derogongan Residence
